":START_ID",":END_ID",":TYPE"
"permit:development_permission","regulation:development_control_&_promotion_regulation_-2034","DEFINED_IN"
"permit:commencement_certificate","regulation:development_control_&_promotion_regulation_-2034","DEFINED_IN"
"permit:development_plan","regulation:mrtp_act_1966","DEFINED_IN"
"buildingtype:building","permit:development_plan","REQUIRES"
"permit:development_permission","regulation:draft_revised_development_plan","DEFINED_IN"
"permit:development_permission","regulation:draft_revised_development_plan_along_with_development_control_regulations","DEFINED_IN"
"buildingtype:greater_mumbai","regulation:draft_development_plan_(part)_of_greater_mumbai","DEFINED_IN"
"permit:development_plan_of_greater_mumbai_2034","regulation:draft_development_control_and_promotion_regulations","DEFINED_IN"
"permit:draft_development_plan_of_greater_mumbai","regulation:31(1)","DEFINED_IN"
"permit:development_plan","regulation:(2)","DEFINED_IN"
"amenity:petrol_pump","buildingtype:building","APPLIES_TO"
"condition:30m__buffer__line","amenity:railway_line","APPLIES_TO"
"permit:occupancy_certificate","regulation:13","DEFINED_IN"
"permit:occupation_certificate","regulation:14","DEFINED_IN"
"permit:development_plan","regulation:14","DEFINED_IN"
"permit:development_permission","regulation:25","DEFINED_IN"
"permit:development_plan","regulation:b","DEFINED_IN"
"buildingtype:greater_mumbai","regulation:b","DEFINED_IN"
"permit:development_plan_of_greater_mumbai","regulation:tpb-4317_629_cr-118_2017_dp_ud-11","DEFINED_IN"
"permit:draft_development_plan-2034_of_greater_mumbai","regulation:4317_629_cr-118_2017_dp_ud-11","DEFINED_IN"
"buildingtype:building","regulation:mrtp_act_1966","DEFINED_IN"
"permit:development_plan","regulation:mrtp_act_1966","DEFINED_IN"
"permit:development_permission","regulation:draft_revised_development_plan_alongwith_development_control_regulations","DEFINED_IN"
"permit:development_permission","regulation:2034","DEFINED_IN"
"permit:commencement_certificate","regulation:2034","DEFINED_IN"
"permit:development_permission","regulation:draft_development_plan-2034","DEFINED_IN"
"buildingtype:building","permit:development_permission","REQUIRES"
"permit:development_permission","regulation:dcp-2034","DEFINED_IN"
"buildingtype:building","permit:development_permission","REQUIRES"
"permit:development_permission","regulation:development_control_and_promotion_regulations_-2034","DEFINED_IN"
"condition:kept_open_for_inspection_by_the_general_public,_during_working_hours_for_a_period_of_one_year_in_the_office_of_the_chief_engineer_(development_plan),_municipal_corporation_of_greater_mumbai_on_all_working_days","regulation:dcp-2034","APPLIES_TO"
"permit:draft_development_plan-2034_and_draft_development_control_and_promotion_regulations-_2034_of_greater_mumbai","regulation:31(1)","DEFINED_IN"
"permit:draft_development_plan-2034_of_greater_mumbai","regulation:118_2017(iii)_ud-11","DEFINED_IN"
"permit:ep-1_to_ep-168","regulation:development_control_and_promotion_regulations-2034","DEFINED_IN"
"buildingtype:development_and_construction","regulation:20","DEFINED_IN"
"buildingtype:part_construction","regulation:20","DEFINED_IN"
"buildingtype:changeof_occupancy","regulation:20","DEFINED_IN"
"permit:development_permission","regulation:23","DEFINED_IN"
"permit:development_permission","regulation:23(1)","DEFINED_IN"
"permit:commencement_certificate","regulation:23(1)","DEFINED_IN"
"permit:development_permission","regulation:5","DEFINED_IN"
"permit:development_permission","regulation:26(1)","DEFINED_IN"
"permit:commencement_certificate","regulation:26(1)","DEFINED_IN"
"condition:construction_to_be_in_conformity_with_regulations","regulation:36","APPLIES_TO"
"condition:notice_to_start_of_work","regulation:36","APPLIES_TO"
